Name,Synonym,Mol. form.,CAS Reg. No.,Mol. wt.,ΔhydH∞/kJ mol-1 ,kcal/mol
Acenaphthene,"1,2-Dihydroacenaphthylene",C12H10 ,83-32-9,154.207,-52.1,-12.4522126
Acetic acid,Ethanoic acid,C2H4O2 ,64-19-7,60.052,-52.8,-12.6195168
Acetone,2-Propanone,C3H6O ,67-64-1,58.079,-39.7,-9.4885382
Acetonitrile,Methyl cyanide,C2H3N ,75-05-8,41.052,-34.9,-8.3413094
Acetophenone,Methyl phenyl ketone,C8H8O ,98-86-2,120.149,-53.3,-12.7390198
Ammonia,R-717,H3N ,7664-41-7,17.031,-35.4,-8.4608124
Aniline,Benzenamine,C6H7N ,62-53-3,93.127,-56.5,-13.503839
Anisole,Methoxybenzene,C7H8O ,100-66-3,108.138,-41.4,-9.8948484
Benzaldehyde,Benzenecarboxaldehyde,C7H6O ,100-52-7,106.122,-42.1,-10.0621526
Benzene,[6]Annulene,C6H6 ,71-43-2,78.112,-28.1,-6.7160686
Benzonitrile,Phenyl cyanide,C7H5N ,100-47-0,103.122,-48.5,-11.591791
Benzyl alcohol,Benzenemethanol,C7H8O ,100-51-6,108.138,-66.9,-15.9895014
Biphenyl,Diphenyl,C12H10 ,92-52-4,154.207,-47.2,-11.2810832
Bromobenzene,Phenyl bromide,C6H5Br ,108-86-1,157.008,-33.5,-8.006701
Bromodichloromethane,,CHBrCl2 ,75-27-4,163.829,-28.9,-6.9072734
Bromoethane,Ethyl bromide,C2H5Br ,74-96-4,108.965,-29.5,-7.050677
Bromomethane,Methyl bromide,CH3Br ,74-83-9,94.939,-23.8,-5.6883428
2-Bromo-2-methylpropane,tert-Butyl bromide ,C4H9Br ,507-19-7,137.018,-25.4,-6.0707524
"1,3-Butadiene",Divinyl,C4H6 ,106-99-0,54.091,-31.4,-7.5047884
Butane,,C4H10 ,106-97-8,58.122,-24.8,-5.9273488
"1,4-Butanediamine",Putrescine,C4H12N2 ,110-60-1,88.151,-91.6,-21.8929496
"1,4-Butanediol",Tetramethylene glycol,C4H10O2 ,110-63-4,90.121,-89.6,-21.4149376
Butanenitrile,Propyl cyanide,C4H7N ,109-74-0,69.106,-42.1,-10.0621526
"1,2,3,4-Butanetetrol",Erythritol,C4H10O4 ,149-32-6,122.120,-114,-27.246684
1-Butanethiol,Butyl mercaptan,C4H10S ,109-79-5,90.187,-36.3,-8.6759178
Butanoic acid,Butyric acid,C4H8O2 ,107-92-6,88.106,-59.5,-14.220857
1-Butanol,Butyl alcohol,C4H10O ,71-36-3,74.121,-61.9,-14.7944714
2-Butanol,sec-Butyl alcohol ,C4H10O ,78-92-2,74.121,-62.7,-14.9856762
2-Butanone,Methyl ethyl ketone,C4H8O ,78-93-3,72.106,-41.9,-10.0143514
1-Butene,1-Butylene,C4H8 ,106-98-9,56.107,-24.1,-5.7600446
2-Butoxyethanol,Ethylene glycol monobutyl ether,C6H14O2 ,111-76-2,118.174,-73.6,-17.5908416
Butyl acetate,,C6H12O2 ,123-86-4,116.158,-52.7,-12.5956162
sec-Butyl acetate ,1-Methylpropyl acetate,C6H12O2 ,105-46-4,116.158,-51.9,-12.4044114
tert-Butyl acetate ,,C6H12O2 ,540-88-5,116.158,-46.2,-11.0420772
Butylamine,1-Butanamine,C4H11N ,109-73-9,73.137,-59.2,-14.1491552
sec-Butylamine ,"2-Butanamine, (±)-",C4H11N ,33966-50-6,73.137,-57.1,-13.6472426
tert-Butylamine ,2-Methyl-2-propanamine,C4H11N ,75-64-9,73.137,-59.0,-14.101354
Butylbenzene,1-Phenylbutane,C10H14 ,104-51-8,134.218,-38.5,-9.201731
Butyl butanoate,,C8H16O2 ,109-21-7,144.212,-63.5,-15.176881
Butyl ethyl ether,Ethyl butyl ether,C6H14O ,628-81-9,102.174,-48.4,-11.5678904
tert-Butyl ethyl ether ,Ethyl tert-butyl ether ,C6H14O ,637-92-3,102.174,-53.4,-12.7629204
4-tert-Butylphenol ,,C10H14O ,98-54-4,150.217,-63.8,-15.2485828
Butyl propanoate,Butyl propionate,C7H14O2 ,590-01-2,130.185,-57.8,-13.8145468
1-Butyne,Ethylacetylene,C4H6 ,107-00-6,54.091,-13.5,-3.226581
Chlorobenzene,Phenyl chloride,C6H5Cl ,108-90-7,112.557,-30.6,-7.3135836
2-Chlorobiphenyl,,C12H9Cl ,2051-60-7,188.652,-42.8,-10.2294568
1-Chlorobutane,Butyl chloride,C4H9Cl ,109-69-3,92.567,-28.2,-6.7399692
2-Chlorobutane,(±)-sec-Butyl chloride ,C4H9Cl ,53178-20-4,92.567,-34.6,-8.2696076
Chlorodibromomethane,,CHBr2Cl ,124-48-1,208.280,-33.3,-7.9588998
Chlorodifluoromethane,HCFC-22,CHClF2 ,75-45-6,86.469,-22.8,-5.4493368
"2-Chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",Isoflurane (HCFE-235da2),C3H2ClF5O ,26675-46-7,184.492,-35.3,-8.4369118
Chloroethane,Ethyl chloride,C2H5Cl ,75-00-3,64.514,-22.0,-5.258132
Chlorofluoromethane,HCFC-31,CH2ClF ,593-70-4,68.478,-21.7,-5.1864302
1-Chlorohexane,Hexyl chloride,C6H13Cl ,544-10-5,120.620,-34.5,-8.245707
Chloromethane,Methyl chloride,CH3Cl ,74-87-3,50.488,-20.2,-4.8279212
1-Chloropentane,Pentyl chloride,C5H11Cl ,543-59-9,106.594,-34.1,-8.1501046
3-Chlorophenol,,C6H5ClO ,108-43-0,128.556,-50.3,-12.0220018
1-Chloropropane,Propyl chloride,C3H7Cl ,540-54-5,78.541,-27.0,-6.453162
2-Chloropyridine,,C5H4ClN ,109-09-1,113.546,-42.6,-10.1816556
3-Chloropyridine,,C5H4ClN ,626-60-8,113.546,-46.2,-11.0420772
2-Chlorotoluene,1-Chloro-2-methylbenzene,C7H7Cl ,95-49-8,126.584,-38.3,-9.1539298
3-Chlorotoluene,1-Chloro-3-methylbenzene,C7H7Cl ,108-41-8,126.584,-37.0,-8.843222
4-Chlorotoluene,1-Chloro-4-methylbenzene,C7H7Cl ,106-43-4,126.584,-33.3,-7.9588998
o-Cresol ,2-Methylphenol,C7H8O ,95-48-7,108.138,-64.8,-15.4875888
m-Cresol ,3-Methylphenol,C7H8O ,108-39-4,108.138,-58.7,-14.0296522
p-Cresol ,4-Methylphenol,C7H8O ,106-44-5,108.138,-61.3,-14.6510678
Cycloheptanol,,C7H14O ,502-41-0,114.185,-74.6,-17.8298476
Cyclohexane,Hexahydrobenzene,C6H12 ,110-82-7,84.159,-30.0,-7.17018
"cis-1,2-Cyclohexanediol ",,C6H12O2 ,1792-81-0,116.158,-82.4,-19.6940944
Cyclohexanol,Cyclohexyl alcohol,C6H12O ,108-93-0,100.158,-70.7,-16.8977242
Cyclohexanone,Pimelic ketone,C6H10O ,108-94-1,98.142,-49.8,-11.9024988
Cyclohexene,Tetrahydrobenzene,C6H10 ,110-83-8,82.143,-27.3,-6.5248638
Cyclooctane,,C8H16 ,292-64-8,112.213,-39.0,-9.321234
cis-Cyclooctene ,,C8H14 ,931-87-3,110.197,-45.5,-10.874773
Cyclopentane,Pentamethylene,C5H10 ,287-92-3,70.133,-30.3,-7.2418818
Cyclopentanol,Cyclopentyl alcohol,C5H10O ,96-41-3,86.132,-58.5,-13.981851
Cyclopentanone,Adipic ketone,C5H8O ,120-92-3,84.117,-44.3,-10.5879658
Cyclopropane,Trimethylene,C3H6 ,75-19-4,42.080,-15.4,-3.6806924
Dibromomethane,Methylene bromide,CH2Br2 ,74-95-3,173.835,-33.0,-7.887198
Dibutylamine,N-Butylbutanamine ,C8H19N ,111-92-2,129.244,-59.3,-14.1730558
Dibutyl ether,Butyl ether,C8H18O ,142-96-1,130.228,-55.8,-13.3365348
o-Dichlorobenzene ,"1,2-Dichlorobenzene",C6H4Cl2 ,95-50-1,147.002,-37.3,-8.9149238
m-Dichlorobenzene ,"1,3-Dichlorobenzene",C6H4Cl2 ,541-73-1,147.002,-35.3,-8.4369118
p-Dichlorobenzene ,"1,4-Dichlorobenzene",C6H4Cl2 ,106-46-7,147.002,-28.4,-6.7877704
"2,3-Dichloro-1,1'-biphenyl",,C12H8Cl2 ,16605-91-7,223.098,-45.6,-10.8986736
"2,4-Dichloro-1,1'-biphenyl",,C12H8Cl2 ,33284-50-3,223.098,-43.0,-10.277258
"2,5-Dichlorobiphenyl",,C12H8Cl2 ,34883-39-1,223.098,-45.6,-10.8986736
"2,4'-Dichloro-1,1'-biphenyl",,C12H8Cl2 ,34883-43-7,223.098,-44.2,-10.5640652
Dichlorodifluoromethane,CFC-12,CCl2F2 ,75-71-8,120.914,-26.0,-6.214156
"2,2-Dichloro-1,1-difluoro-1-methoxyethane",Methoxyflurane,C3H4Cl2F2O ,76-38-0,164.966,-30.4,-7.2657824
"1,1-Dichloroethane",Ethylidene dichloride,C2H4Cl2 ,75-34-3,98.959,-30.3,-7.2418818
"1,2-Dichloroethane",Ethylene dichloride,C2H4Cl2 ,107-06-2,98.959,-27.9,-6.6682674
"1,1-Dichloroethene",Vinylidene chloride,C2H2Cl2 ,75-35-4,96.943,-28.5,-6.811671
"cis-1,2-Dichloroethene ","cis-1,2-Dichloroethylene ",C2H2Cl2 ,156-59-2,96.943,-26.9,-6.4292614
"(E)-1,2-Dichloroethene","trans-1,2-Dichloroethylene ",C2H2Cl2 ,156-60-5,96.943,-29.3,-7.0028758
Dichloromethane,Methylene chloride,CH2Cl2 ,75-09-2,84.933,-30.3,-7.2418818
"1,2-Dichloropropane, (±)-",Propylene dichloride,C3H6Cl2 ,78-87-5,112.986,-31.1,-7.4330866
"1,3-Dichloropropane",,C3H6Cl2 ,142-28-9,112.986,-29.7,-7.0984782
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",CFC-114,C2Cl2F4 ,76-14-2,170.921,-20.2,-4.8279212
"1,2-Diethoxyethane",Ethylene glycol diethyl ether,C6H14O2 ,629-14-1,118.174,-71.9,-17.1845314
Diethylamine,N-Ethylethanamine ,C4H11N ,109-89-7,73.137,-64.3,-15.3680858
"N,N-Diethylaniline ",,C10H15N ,91-66-7,149.233,-45.7,-10.9225742
p-Diethylbenzene ,"1,4-Diethylbenzene",C10H14 ,105-05-5,134.218,-46.4,-11.0898784
Diethylene glycol dimethyl ether,Diglyme,C6H14O3 ,111-96-6,134.173,-96.2,-22.9923772
Diethyl ether,Ethyl ether,C4H10O ,60-29-7,74.121,-46.4,-11.0898784
Diethyl sulfide,Ethyl sulfide,C4H10S ,352-93-2,90.187,-40.2,-9.6080412
"1,1-Difluoroethane",HFC-152a,C2H4F2 ,75-37-6,66.050,-20.7,-4.9474242
Difluoromethane,HFC-32,CH2F2 ,75-10-5,52.024,-17.2,-4.1109032
Diiodomethane,Methylene iodide,CH2I2 ,75-11-6,267.836,-41.6,-9.9426496
Diisopropyl ether,Isopropyl ether,C6H14O ,108-20-3,102.174,-51.7,-12.3566102
"1,2-Dimethoxyethane",Ethylene glycol dimethyl ether,C4H10O2 ,110-71-4,90.121,-59.3,-14.1730558
Dimethylamine,N-Methylmethanamine ,C2H7N ,124-40-3,45.084,-53.1,-12.6912186
"2,4-Dimethylaniline","2,4-Xylidine",C8H11N ,95-68-1,121.180,-58.7,-14.0296522
"2,5-Dimethylaniline","2,5-Xylidine",C8H11N ,95-78-3,121.180,-61.5,-14.698869
"2,6-Dimethylaniline","2,6-Xylidine",C8H11N ,87-62-7,121.180,-60.5,-14.459863
"N,N-Dimethylaniline ","N,N-Dimethylbenzenamine ",C8H11N ,121-69-7,121.180,-49.6,-11.8546976
"2,3-Dimethylbutane",Diisopropyl,C6H14 ,79-29-8,86.175,-32.4,-7.7437944
"3,3-Dimethyl-2-butanone",Pinacolone,C6H12O ,75-97-8,100.158,-47.5,-11.352785
"cis-1,2-Dimethylcyclohexane ",,C8H16 ,2207-01-4,112.213,-38.3,-9.1539298
"trans-1,2-Dimethylcyclohexane ",,C8H16 ,6876-23-9,112.213,-36.1,-8.6281166
Dimethyl ether,Methyl ether,C2H6O ,115-10-6,46.068,-34.0,-8.126204
"N,N-Dimethylformamide ",DMF,C3H7NO ,68-12-2,73.094,-62.9,-15.0334774
"2,4-Dimethyl-3-pentanone",Diisopropyl ketone,C7H14O ,565-80-0,114.185,-54.0,-12.906324
"2,3-Dimethylpyridine","2,3-Lutidine",C7H9N ,583-61-9,107.153,-57.7,-13.7906462
"2,4-Dimethylpyridine","2,4-Lutidine",C7H9N ,108-47-4,107.153,-60.7,-14.5076642
"2,5-Dimethylpyridine","2,5-Lutidine",C7H9N ,589-93-5,107.153,-54.9,-13.1214294
"2,6-Dimethylpyridine","2,6-Lutidine",C7H9N ,108-48-5,107.153,-52.3,-12.5000138
"3,4-Dimethylpyridine","3,4-Lutidine",C7H9N ,583-58-4,107.153,-50.5,-12.069803
"3,5-Dimethylpyridine","3,5-Lutidine",C7H9N ,591-22-0,107.153,-51.3,-12.2610078
Dimethyl sulfide,2-Thiapropane,C2H6S ,75-18-3,62.134,-31.5,-7.528689
Dimethyl sulfoxide,DMSO,C2H6OS ,67-68-5,78.133,-71.9,-17.1845314
"2,5-Dimethyltetrahydrofuran",,C6H12O ,1003-38-9,100.158,-56.3,-13.4560378
"1,4-Dioxane","1,4-Dioxacyclohexane",C4H8O2 ,123-91-1,88.106,-48.4,-11.5678904
"1,2-Dipropoxyethane",,C8H18O2 ,18854-56-3,146.228,-76.8,-18.3556608
Dipropylamine,N-Propyl-1-propanamine ,C6H15N ,142-84-7,101.190,-65.2,-15.5831912
Dipropyl ether,Propyl ether,C6H14O ,111-43-3,102.174,-49.9,-11.9263994
Dipropyl sulfide,,C6H14S ,111-47-7,118.240,-47.7,-11.4005862
1-Dodecanol,Lauryl alcohol,C12H26O ,112-53-8,186.333,-81.9,-19.5745914
Ethane,,C2H6 ,74-84-0,30.069,-17.9,-4.2782074
"1,2-Ethanediamine",Ethylenediamine,C2H8N2 ,107-15-3,60.098,-76.1,-18.1883566
"1,2-Ethanediol",Ethylene glycol,C2H6O2 ,107-21-1,62.068,-77.3,-18.4751638
Ethanethiol,Ethyl mercaptan,C2H6S ,75-08-1,62.134,-28.9,-6.9072734
Ethanol,Ethyl alcohol,C2H6O ,64-17-5,46.068,-50.6,-12.0937036
2-Ethoxyethanol,Ethylene glycol monoethyl ether,C4H10O2 ,110-80-5,90.121,-66.4,-15.8699984
1-Ethoxy-2-methoxyethane,,C5H12O2 ,5137-45-1,104.148,-66.1,-15.7982966
Ethyl acetate,,C4H8O2 ,141-78-6,88.106,-45.3,-10.8269718
Ethylamine,Ethanamine,C2H7N ,75-04-7,45.084,-53.7,-12.8346222
2-Ethylaniline,,C8H11N ,578-54-1,121.180,-59.7,-14.2686582
4-Ethylaniline,,C8H11N ,589-16-2,121.180,-65.0,-15.53539
Ethylbenzene,Phenylethane,C8H10 ,100-41-4,106.165,-39.4,-9.4168364
Ethyl butanoate,Ethyl butyrate,C6H12O2 ,105-54-4,116.158,-52.7,-12.5956162
Ethylcyclohexane,,C8H16 ,1678-91-7,112.213,-36.8,-8.7954208
"Ethyl 2,2-dimethylpropanoate",Ethyl trimethylacetate,C7H14O2 ,3938-95-2,130.185,-50.3,-12.0220018
Ethylene,Ethene,C2H4 ,74-85-1,28.053,-13.7,-3.2743822
Ethyl formate,,C3H6O2 ,109-94-4,74.079,-38.1,-9.1061286
Ethyl hexanoate,,C8H16O2 ,123-66-0,144.212,-60.2,-14.3881612
Ethyl 2-methylbutanoate,,C7H14O2 ,7452-79-1,130.185,-55.4,-13.2409324
Ethyl 3-methylbutanoate,Ethyl isovalerate,C7H14O2 ,108-64-5,130.185,-56.0,-13.384336
Ethyl 2-methylpropanoate,Ethyl isobutanoate,C6H12O2 ,97-62-1,116.158,-51.3,-12.2610078
Ethyl pentanoate,Ethyl valerate,C7H14O2 ,539-82-2,130.185,-56.5,-13.503839
Ethyl propanoate,Ethyl propionate,C5H10O2 ,105-37-3,102.132,-49.5,-11.830797
2-Ethylpyridine,,C7H9N ,100-71-0,107.153,-55.7,-13.3126342
3-Ethylpyridine,,C7H9N ,536-78-7,107.153,-53.5,-12.786821
4-Ethylpyridine,,C7H9N ,536-75-4,107.153,-52.2,-12.4761132
9H-Fluorene ,"2,2'-Methylenebiphenyl",C13H10 ,86-73-7,166.218,-42.7,-10.2055562
Fluorobenzene,Phenyl fluoride,C6H5F ,462-06-6,96.102,-29.3,-7.0028758
Fluoromethane,Methyl fluoride,CH3F ,593-53-3,34.033,-16.1,-3.8479966
Glycerol,"1,2,3-Propanetriol",C3H8O3 ,56-81-5,92.094,-103.5,-24.737121
"1,1,1,2,3,3,3-Heptafluoropropane",HFC-227ea,C3HF7 ,431-89-0,170.029,-24.8,-5.9273488
Heptanal,Heptaldehyde,C7H14O ,111-71-7,114.185,-56.6,-13.5277396
Heptane,,C7H16 ,142-82-5,100.202,-34.0,-8.126204
1-Heptanol,Heptyl alcohol,C7H16O ,111-70-6,116.201,-72.1,-17.2323326
