,smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
14,ClC(Cl)Br,4.956790123,-0.409722222,4.956790123,0.409722222,0.48061812,163.829,162.821,161.8638675,26,0,0.161548251,-0.092585792,0.161548251,0.092585792,1.5,1.5,1.5,79.91873699,11.91134285,1.778266665,-1.694273197,2.067723773,-1.527464354,9.101005315,2.058604651,2.323790008,10.7548875,3.577350269,1.711243688,4.809098119,1.732050808,0.654653671,2.44320076,0.24743583,3.31373606,0,0,0,0,1.06,3.245112498,5.06,2.306305419,11.55697401,43.21333109,0,0,3.745537714,0,0,0,0,0,0,0,39.13182368,0,0,0,0,39.13182368,0,0,0,3.745537714,0,0,0,0,0,0,0,39.13182368,3.745537714,0,0,0,0,0,0,0,0,3.745537714,0,0,0,0,0,0,0,0,15.9299439,23.20187978,-0.409722222,12.71527778,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.1425,24.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NCCCCN,5.159027778,0.775,5.159027778,0.775,0.464598963,88.154,76.058,88.10004838,38,0,-0.00768043,-0.330472669,0.330472669,0.00768043,0.833333333,1.166666667,1.333333333,14.54317193,10.31202456,1.748758439,-1.866287199,1.767324744,-2.034687889,4.376846616,0.755028164,2.339092315,17.509775,4.828427125,3.983127663,3.983127663,2.914213562,2.316496581,2.316496581,1.28445705,1.28445705,0.65824829,0.65824829,0.288675135,0.288675135,-0.08,20.98630086,5.92,4.92,3.92,38.51385877,11.46733495,0,0,0,0,0,0,0,0,0,0,25.93115606,0,0,0,0,0,0,11.46733495,12.84164325,13.08951281,0,0,0,11.46733495,0,0,0,13.08951281,0,0,12.84164325,0,0,0,0,52.04,0,0,0,0,0,25.93115606,0,0,0,0,11.46733495,0,0,0,0,10.31805556,0,0,2.131944444,1.55,0,1,6,4,2,0,0,0,0,0,0,2,2,2,3,0,0,0,0,-0.316,27.3428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,OCCCCO,8.08625,0.195,8.08625,0.195,0.469062812,90.122,80.042,90.06807956,38,0,0.043137008,-0.396375038,0.396375038,0.043137008,0.833333333,1.166666667,1.333333333,16.25500966,10.34192939,1.768324594,-1.852909603,1.802227409,-1.849294283,4.300373468,0.242052885,2.339092315,17.509775,4.828427125,3.722854316,3.722854316,2.914213562,2.132455532,2.132455532,1.154320377,1.154320377,0.566227766,0.566227766,0.223606798,0.223606798,-0.08,20.98630086,5.92,4.92,3.92,37.42254488,10.21305479,0,0,0,0,0,0,0,0,0,0,12.84164325,13.21376393,0,10.21305479,0,0,0,0,12.84164325,13.21376393,0,0,0,0,0,0,0,23.42681872,0,0,12.84164325,0,0,0,0,40.46,0,0,0,13.21376393,0,12.84164325,0,0,0,0,10.21305479,0,0,0,16.1725,0,0,0,1.4375,0.39,0,1,6,2,2,0,0,0,0,0,0,2,2,2,3,0,0,0,0,-0.2488,23.4056,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,OCC(O)C(O)CO,8.466435185,-1.222222222,8.466435185,0.526064815,0.338933419,122.12,112.04,122.0579088,50,0,0.105123465,-0.393579375,0.393579375,0.105123465,0.875,1.125,1.25,16.36896937,10.22083479,2.116840878,-2.104053455,1.878929959,-2.314989528,4.621336745,-0.038752965,3.292478156,48,6.568914101,4.357768483,4.357768483,3.718744015,2.298683226,2.298683226,1.499843661,1.499843661,0.818269671,0.818269671,0.243352103,0.243352103,-0.16,53.47276361,7.84,3.795331112,2.225724698,47.01101238,20.42610958,12.20793278,0,0,0,0,0,0,0,0,0,0,0,13.21376393,20.42610958,0,0,0,0,12.20793278,13.21376393,0,0,0,0,0,0,0,45.84780628,0,0,0,0,0,0,0,80.92,25.4216967,0,0,0,0,0,0,0,0,0,20.42610958,0,0,0,33.16324074,0,0,0,-2.444444444,-1.05212963,0,1,8,4,4,0,0,0,0,0,0,4,4,4,3,0,0,0,0,-2.3072,26.1852,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,CCC(C)O,8.361111111,-0.115740741,8.361111111,0.115740741,0.486927429,74.123,64.043,74.07316494,32,0,0.050903904,-0.393430087,0.393430087,0.050903904,1.8,2,2,16.26458483,10.32638817,1.812132088,-1.900915745,1.811751015,-1.926645189,4.338386967,0.190544205,2.539538861,17.60964047,4.28445705,3.731670646,3.731670646,2.27005561,1.950904231,1.950904231,1.257269657,1.257269657,0.590822476,0.590822476,0,0,-0.04,9.651484454,4.96,2.212525253,3.96,32.62831112,5.106527395,0,0,0,0,0,0,0,0,0,6.9237372,13.34455882,0,6.103966388,5.106527395,0,0,0,0,26.37226241,0,0,0,0,0,0,0,0,11.21049378,0,0,20.26829602,0,0,0,0,20.23,0,0,0,6.103966388,0,6.420821623,0,6.9237372,6.9237372,0,5.106527395,0,0,0,8.361111111,0,0,0,0.74537037,3.726851852,0,1,5,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.7772,21.9718,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,CCC(C)=O,9.8125,0.25462963,9.8125,0.25462963,0.451050805,72.107,64.043,72.05751488,30,0,0.129065033,-0.300042385,0.300042385,0.129065033,1.8,2,2,16.13711378,10.36069991,1.764361948,-1.711045177,1.710825151,-1.797011934,5.744224711,-0.116198589,2.847378923,38.91260938,4.28445705,3.615355072,3.615355072,2.27005561,1.764784317,1.764784317,1.055568494,1.055568494,0.497890958,0.497890958,0,0,-0.33,9.651484454,4.67,1.942479564,3.67,31.99559947,4.794537184,5.783244946,0,0,0,0,0,0,0,0,6.9237372,6.9237372,6.420821623,0,4.794537184,5.783244946,0,0,0,20.26829602,0,0,0,0,0,0,0,0,5.783244946,4.794537184,0,20.26829602,0,0,0,0,17.07,0,4.794537184,0,5.783244946,6.420821623,0,0,6.9237372,6.9237372,0,0,0,0,9.8125,0,0,0.25462963,0,0.666666667,3.43287037,0,0.75,5,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.9854,20.972,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,CCC(C)OC(C)=O,10.19083333,-0.195046296,10.19083333,0.076388889,0.508859154,116.16,104.064,116.0837296,48,0,0.302389049,-0.46287245,0.46287245,0.302389049,1.75,2.25,2.375,16.54123532,10.31179294,1.985311577,-2.061122888,1.938929103,-2.094276686,5.655775764,-0.145027161,3.236426783,78.59772061,6.568914101,5.600953631,5.600953631,3.66390246,2.836655892,2.836655892,1.828298262,1.828298262,0.942063073,0.942063073,0.36665101,0.36665101,-0.53,42.84459141,7.47,3.469267037,3.652815356,49.83902893,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,6.9237372,13.34455882,6.9237372,6.103966388,9.531400138,5.969305288,0,0,0,33.29599961,0,0,0,0,0,0,0,0,12.07327168,9.531400138,0,27.19203322,0,0,0,0,26.3,0,4.794537184,0,12.07327168,0,6.420821623,6.9237372,0,13.8474744,0,4.736862954,4.760416667,0,10.19083333,0,0,-0.195046296,0,0.964861111,5.278935185,0,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.348,31.519,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CC(=O)OC(C)(C)C,10.23715278,-0.327546296,10.23715278,0.224537037,0.446385432,116.16,104.064,116.0837296,48,0,0.302646116,-0.46015067,0.46015067,0.302646116,1.375,1.75,1.75,16.55147841,10.17713724,2.112000639,-2.168894578,2.050470458,-2.212515096,5.65907278,-0.151403807,3.551252924,89.19188266,6.78445705,5.816496581,5.816496581,3.416502219,2.612372436,2.612372436,2.706016132,2.706016132,0.449914957,0.449914957,0.431186218,0.431186218,-0.53,23.0053905,7.47,2.158633812,5.47,49.83902893,4.736862954,5.601050811,0,0,0,5.969305288,4.794537184,0,0,0,0,20.7712116,6.9237372,0,9.531400138,5.969305288,0,0,0,33.29599961,0,0,0,0,0,0,0,0,11.5703561,9.531400138,0,27.6949488,0,0,0,0,26.3,0,4.794537184,0,11.5703561,0,0,6.9237372,0,20.7712116,0,4.736862954,4.798611111,0,10.23715278,0,-0.327546296,-0.224537037,0,0,6.932986111,0,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1.348,31.519,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CCC(C)N,5.291666667,0.384259259,5.291666667,0.384259259,0.486540067,73.139,62.051,73.08914935,32,0,0.000780537,-0.32799795,0.32799795,0.000780537,1.8,2,2,14.58649798,10.28820324,1.791892011,-1.914194524,1.767400543,-2.112308601,4.427525784,0.714592479,2.539538861,17.60964047,4.28445705,3.86180732,3.86180732,2.27005561,2.026038674,2.026038674,1.385532175,1.385532175,0.643950551,0.643950551,0,0,-0.04,9.651484454,4.96,2.212525253,3.96,33.17396807,5.733667477,0,0,0,0,0,0,0,0,0,6.9237372,13.34455882,6.041840829,0,0,0,0,0,5.733667477,26.31013685,0,0,0,0,5.733667477,0,0,0,6.041840829,0,0,20.26829602,0,0,0,0,26.02,0,0,0,0,6.041840829,6.420821623,0,0,6.9237372,6.9237372,5.733667477,0,0,0,0,5.291666667,0,0.384259259,1.083333333,4.074074074,0,1,5,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.7436,23.9404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,CC(C)(C)N,5.354166667,0,5.354166667,0,0.449469808,73.139,62.051,73.08914935,32,0,0.006857357,-0.325816088,0.325816088,0.006857357,1.2,1.2,1.2,14.66511263,10.14598723,1.95045176,-2.058722205,1.875871289,-2.258026974,4.595679201,0.579944103,3.023715784,19.11941548,4.5,4.077350269,4.077350269,2,1.788675135,1.788675135,2.366025404,2.366025404,0,0,0,0,-0.04,3.609640474,4.96,0.976756002,9507.96,33.17396807,5.733667477,0,0,0,0,0,0,0,0,0,0,20.7712116,5.538925252,0,0,0,0,0,5.733667477,26.31013685,0,0,0,0,5.733667477,0,0,0,5.538925252,0,0,20.7712116,0,0,0,0,26.02,0,0,0,5.538925252,0,0,0,0,20.7712116,0,5.733667477,0,0,0,0,5.354166667,0,0,0,5.895833333,0,1,5,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.7436,23.9404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CCCCOC(=O)CCC,10.69565193,-0.059305556,10.69565193,0.059305556,0.436173811,144.214,128.086,144.1150298,60,0,0.305266894,-0.465675318,0.465675318,0.305266894,1.3,2,2.5,16.53233572,10.32294689,1.972789323,-2.002092794,1.932597327,-2.038310246,5.68628872,-0.143278955,3.052375189,89.25838097,7.819990956,6.852030487,6.852030487,4.808060412,3.964690378,3.964690378,2.324023571,2.324023571,1.215064813,1.215064813,0.60663473,0.60663473,-0.53,149.4535581,9.47,6.588063754,5.603868809,62.56891316,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,20.26829602,12.84164325,6.420821623,6.606881965,9.531400138,5.969305288,0,0,0,39.53076089,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,39.53076089,0,0,0,0,26.3,0,4.794537184,0,5.969305288,13.02770359,19.26246487,0,0,6.9237372,6.9237372,4.736862954,4.883888889,0,10.69565193,0,0,-0.059305556,0,3.503503874,4.642927532,0,0.875,10,0,2,0,0,0,0,0,0,2,0,2,5,0,0,0,0,2.1298,40.775,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,CCCCOCC,5.073888889,0.861111111,5.073888889,0.861111111,0.491869888,102.177,88.065,102.1044651,44,0,0.046529105,-0.381739325,0.381739325,0.046529105,1.285714286,2,2.428571429,16.47216962,10.36020091,1.780748403,-1.942492643,1.850536264,-1.903076031,4.279083604,0.144246933,2.447472888,23.3609904,5.535533906,5.236675415,5.236675415,3.414213562,2.991563832,2.991563832,1.550476816,1.550476816,0.84635267,0.84635267,0.390737207,0.390737207,-0.04,35.50960993,6.96,5.96,5.96,45.67750683,4.736862954,0,0,0,0,0,0,0,0,0,13.34455882,13.34455882,13.21376393,0,4.736862954,0,0,0,0,26.68911765,13.21376393,0,0,0,0,0,0,0,13.21376393,4.736862954,0,26.68911765,0,0,0,0,9.23,0,0,0,0,0,13.21376393,12.84164325,0,6.9237372,6.9237372,4.736862954,5.073888889,0,0,0,0,0,0,2.438333333,5.987777778,0,1,7,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1.823,31.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
40,CCOC(C)(C)C,5.229166667,0.050347222,5.229166667,0.050347222,0.490414127,102.177,88.065,102.1044651,44,0,0.059787007,-0.376153336,0.376153336,0.059787007,1.285714286,1.714285714,1.714285714,16.49635711,10.17823949,2.058311212,-2.166812141,2.039907187,-2.178044032,4.561036144,0.005316827,3.154490065,42.63193445,5.914213562,5.615355072,5.615355072,3.060660172,2.699906061,2.699906061,2.545385138,2.545385138,0.577350269,0.577350269,0.433012702,0.433012702,-0.04,18.14170945,6.96,2.31410722,5.96,45.67750683,4.736862954,0,0,0,0,0,0,0,0,0,0,27.6949488,6.606881965,5.601050811,4.736862954,0,0,0,0,33.29599961,6.606881965,0,0,0,0,0,0,0,12.20793278,4.736862954,0,27.6949488,0,0,0,0,9.23,0,0,0,5.601050811,0,6.606881965,0,0,6.9237372,20.7712116,4.736862954,5.229166667,0,0,0,0.050347222,0,0,0,8.970486111,0,1,7,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.8214,31.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,CCCCOC(=O)CC,10.46440193,-0.094027778,10.46440193,0.094027778,0.427719741,130.187,116.075,130.0993797,54,0,0.304996408,-0.465682715,0.465682715,0.304996408,1.444444444,2.111111111,2.555555556,16.53227802,10.35402143,1.940393388,-1.986554551,1.895406793,-2.024506586,5.682654634,-0.142841444,2.973062408,78.98533617,7.112884175,6.144923706,6.144923706,4.308060412,3.464690378,3.464690378,1.927576962,1.927576962,1.049615803,1.049615803,0.432403874,0.432403874,-0.53,94.26737929,8.47,5.603868809,5.339329135,56.20397104,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,20.26829602,6.420821623,6.420821623,6.606881965,9.531400138,5.969305288,0,0,0,33.10993927,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,33.10993927,0,0,0,0,26.3,0,4.794537184,0,5.969305288,13.02770359,12.84164325,0,6.9237372,0,6.9237372,4.736862954,4.792638889,0,10.46440193,0,0,-0.094027778,0,2.548064059,4.455589569,0,0.857142857,9,0,2,0,0,0,0,0,0,2,0,2,4,0,0,0,0,1.7397,36.158,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
